Friday Date,Monday Date,Friday Close,Monday Open,Monday Close,Friday-Monday Return (%),Volume Liquidity,Positive Return,Friday Volume,Monday Volume
2016-11-11,2016-11-14,216.4199981689453,217.02999877929688,216.58999633789062,0.07855012031402281,Sufficient,True,100552700,94580000.0
2016-11-18,2016-11-21,218.5,219.1699981689453,220.14999389648438,0.7551459480477689,Sufficient,True,86265800,72402600.0
2016-11-25,2016-11-28,221.52000427246094,221.16000366210938,220.47999572753906,-0.4694874164243448,Sufficient,False,37872300,76572500.0
2016-12-02,2016-12-05,219.67999267578125,220.64999389648438,221.0,0.6008773526166796,Sufficient,True,74840300,67837800.0
2016-12-09,2016-12-12,226.50999450683594,226.39999389648438,226.25,-0.11478279684832672,Sufficient,False,88005800,102016100.0
2016-12-16,2016-12-19,225.0399932861328,225.25,225.52999877929688,0.21774151607844772,Sufficient,True,156420200,90341100.0
2017-01-06,2017-01-09,227.2100067138672,226.91000366210938,226.4600067138672,-0.3300910953911017,Sufficient,False,71559900,46939700.0
2017-01-20,2017-01-23,226.74000549316406,226.74000549316406,226.14999389648438,-0.26021504030415826,Sufficient,False,129168600,75061600.0
2017-01-27,2017-01-30,228.97000122070312,228.1699981689453,227.5500030517578,-0.6201677780385663,Sufficient,False,59711100,79737300.0
2017-02-03,2017-02-06,229.33999633789062,228.8699951171875,228.92999267578125,-0.178775472510826,Sufficient,False,80563200,57790100.0
2017-02-10,2017-02-13,231.50999450683594,232.0800018310547,232.77000427246094,0.5442571791810029,Sufficient,True,66015900,55182100.0
2017-02-24,2017-02-27,236.74000549316406,236.63999938964844,237.11000061035156,0.1562875342579916,Sufficient,True,82381600,56515400.0
2017-03-03,2017-03-06,238.4199981689453,237.5,237.7100067138672,-0.2977902275525656,Sufficient,False,81974300,55391500.0
2017-03-10,2017-03-13,237.69000244140625,237.6199951171875,237.80999755859375,0.050483872251665445,Sufficient,True,81991700,57256800.0
